error_type,primary_count,primary_percentage_of_analyzed,secondary_count,any_case_count,any_case_percentage_of_analyzed,representative_example_ids,representative_cases
LIMIT_OR_SUPERLATIVE,11,3.19,12,23,6.67,"[395, 852, 131]","[{""example_id"": 395, ""db_id"": ""course_teach"", ""question"": ""교사들의 가장 흔한 고향을 나열하십시오."", ""primary_error"": ""LIMIT_OR_SUPERLATIVE"", ""secondary_errors"": [], ""gold_sql"": ""SELECT Hometown FROM teacher GROUP BY Hometown ORDER BY COUNT(*) DESC LIMIT 1"", ""predicted_sql"": ""SELECT Hometown FROM teacher GROUP BY Hometown ORDER BY COUNT(*) DESC""}, {""example_id"": 852, ""db_id"": ""orchestra"", ""question"": ""가장 많은 수의 오케스트라가 공유하는 레코드 회사를 나열하세요."", ""primary_error"": ""LIMIT_OR_SUPERLATIVE"", ""secondary_errors"": [], ""gold_sql"": ""SELECT Record_Company FROM orchestra GROUP BY Record_Company ORDER BY COUNT(*) DESC LIMIT 1"", ""predicted_sql"": ""SELECT Record_Company \nFROM orchestra \nGROUP BY Record_Company \nORDER BY COUNT(*) DESC""}, {""example_id"": 131, ""db_id"": ""car_1"", ""question"": ""3기통 자동차 모델의 최대 마력과 제조사는?"", ""primary_error"": ""LIMIT_OR_SUPERLATIVE"", ""secondary_errors"": [""ORDER_BY""], ""gold_sql"": ""SELECT T2.horsepower ,  T1.Make FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.cylinders  =  3 ORDER BY T2.horsepower DESC LIMIT 1;"", ""predicted_sql"": ""SELECT \n    c.Horsepower, \n    cn.Make \nFROM \n    cars_data c \nJOIN \n    car_names cn \nON \n    c.Id = cn.MakeId \nWHERE \n    c.Cylinders = 3""}]"
WRONG_FILTER_OPERATOR,11,3.19,6,17,4.93,"[103, 104, 125]","[{""example_id"": 103, ""db_id"": ""car_1"", ""question"": ""1980년 이후에 생산된 고유한 자동차 모델은 무엇입니까?"", ""primary_error"": ""WRONG_FILTER_OPERATOR"", ""secondary_errors"": [], ""gold_sql"": ""SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.model  =  T2.model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.id WHERE T3.year  >  1980;"", ""predicted_sql"": ""SELECT DISTINCT m.Model \nFROM cars_data c\nJOIN car_names n ON c.Id = n.MakeId\nJOIN model_list m ON n.Model = m.Model\nWHERE c.Year >= 1980""}, {""example_id"": 104, ""db_id"": ""car_1"", ""question"": ""1980년 이후에 생산된 카드의 다양한 모델은 무엇입니까?"", ""primary_error"": ""WRONG_FILTER_OPERATOR"", ""secondary_errors"": [], ""gold_sql"": ""SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.model  =  T2.model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.id WHERE T3.year  >  1980;"", ""predicted_sql"": ""SELECT DISTINCT ml.Model \nFROM cars_data cd \nJOIN car_names cn ON cd.Id = cn.MakeId \nJOIN model_list ml ON cn.Model = ml.Model \nWHERE cd.Year >= 1980""}, {""example_id"": 125, ""db_id"": ""car_1"", ""question"": ""마력이 150 이상인 자동차의 수는 몇 개입니까?"", ""primary_error"": ""WRONG_FILTER_OPERATOR"", ""secondary_errors"": [], ""gold_sql"": ""SELECT count(*) FROM CARS_DATA WHERE horsepower  >  150;"", ""predicted_sql"": ""SELECT COUNT(*) FROM cars_data WHERE Horsepower >= '150'""}]"
DISTINCT,10,2.9,110,120,34.78,"[75, 76, 153]","[{""example_id"": 75, ""db_id"": ""pets_1"", ""question"": ""반려동물을 가진 학생들의 이름과 나이를 찾으세요."", ""primary_error"": ""DISTINCT"", ""secondary_errors"": [], ""gold_sql"": ""SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid"", ""predicted_sql"": ""SELECT S.Fname, S.Age\nFROM Student S\nJOIN Has_Pet HP ON S.StuID = HP.StuID""}, {""example_id"": 76, ""db_id"": ""pets_1"", ""question"": ""반려동물을 가진 학생들의 이름과 나이는 각각 어떻게 되나요?"", ""primary_error"": ""DISTINCT"", ""secondary_errors"": [], ""gold_sql"": ""SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid"", ""predicted_sql"": ""SELECT S.Fname, S.Age \nFROM Student S \nJOIN Has_Pet HP ON S.StuID = HP.StuID""}, {""example_id"": 153, ""db_id"": ""car_1"", ""question"": ""3000 이상 4000 이하의 무게를 가진 자동차가 생산된 연도는 언제입니까?"", ""primary_error"": ""DISTINCT"", ""secondary_errors"": [], ""gold_sql"": ""select distinct year from cars_data where weight between 3000 and 4000;"", ""predicted_sql"": ""SELECT Year \nFROM cars_data \nWHERE Weight >= 3000 AND Weight <= 4000""}]"
ORDER_BY,5,1.45,46,51,14.78,"[95, 96, 133]","[{""example_id"": 95, ""db_id"": ""car_1"", ""question"": ""최소 마력을 가진 자동차의 모델은 무엇인가요?"", ""primary_error"": ""ORDER_BY"", ""secondary_errors"": [], ""gold_sql"": ""SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.horsepower ASC LIMIT 1;"", ""predicted_sql"": ""SELECT cn.Model \nFROM cars_data cd \nJOIN car_names cn ON cd.Id = cn.MakeId \nORDER BY CAST(cd.Horsepower AS REAL) ASC \nLIMIT 1""}, {""example_id"": 96, ""db_id"": ""car_1"", ""question"": ""가장 적은 마력을 가진 자동차의 모델은 무엇인가요?"", ""primary_error"": ""ORDER_BY"", ""secondary_errors"": [], ""gold_sql"": ""SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.horsepower ASC LIMIT 1;"", ""predicted_sql"": ""SELECT cn.Model \nFROM cars_data cd \nJOIN car_names cn ON cd.Id = cn.MakeId \nORDER BY CAST(cd.Horsepower AS REAL) ASC \nLIMIT 1""}, {""example_id"": 133, ""db_id"": ""car_1"", ""question"": ""어떤 모델이 가장 많은 가솔린을 절약합니까? 즉, 갤런당 마일이 가장 높은 모델은?"", ""primary_error"": ""ORDER_BY"", ""secondary_errors"": [], ""gold_sql"": ""SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.mpg DESC LIMIT 1;"", ""predicted_sql"": ""SELECT cn.Model \nFROM cars_data cd \nJOIN car_names cn ON cd.Id = cn.MakeId \nORDER BY CAST(cd.MPG AS REAL) DESC \nLIMIT 1""}]"
EXTRA_FILTER,4,1.16,70,74,21.45,"[797, 798, 799]","[{""example_id"": 797, ""db_id"": ""world_1"", ""question"": ""평균 기대 수명이 72세보다 긴 정부 형태들과 각 정부 형태의 총 인구는 무엇인가요?"", ""primary_error"": ""EXTRA_FILTER"", ""secondary_errors"": [""HAVING"", ""AGGREGATION"", ""SELECT_TARGET""], ""gold_sql"": ""SELECT sum(Population) ,  GovernmentForm FROM country GROUP BY GovernmentForm HAVING avg(LifeExpectancy)  >  72"", ""predicted_sql"": ""SELECT \n    GovernmentForm, \n    SUM(Population) AS TotalPopulation \nFROM \n    country \nWHERE \n    LifeExpectancy > 72 \nGROUP BY \n    GovernmentForm""}, {""example_id"": 798, ""db_id"": ""world_1"", ""question"": ""평균 기대 수명이 72세보다 짧은 각 대륙의 평균 기대 수명과 총 인구를 찾으세요."", ""primary_error"": ""EXTRA_FILTER"", ""secondary_errors"": [""HAVING"", ""AGGREGATION"", ""SELECT_TARGET""], ""gold_sql"": ""SELECT sum(Population) ,  avg(LifeExpectancy) ,  Continent FROM country GROUP BY Continent HAVING avg(LifeExpectancy)  <  72"", ""predicted_sql"": ""SELECT \n    Continent, \n    AVG(LifeExpectancy) AS AverageLifeExpectancy, \n    SUM(Population) AS TotalPopulation \nFROM \n    country \nWHERE \n    LifeExpectancy < 72 \nGROUP BY \n    Continent""}, {""example_id"": 799, ""db_id"": ""world_1"", ""question"": ""평균 기대 수명이 72세 미만인 대륙들과 각 대륙에 해당하는 총 인구 및 평균 기대 수명은 무엇인가요?"", ""primary_error"": ""EXTRA_FILTER"", ""secondary_errors"": [""HAVING"", ""AGGREGATION"", ""SELECT_TARGET""], ""gold_sql"": ""SELECT sum(Population) ,  avg(LifeExpectancy) ,  Continent FROM country GROUP BY Continent HAVING avg(LifeExpectancy)  <  72"", ""predicted_sql"": ""SELECT \n    Continent, \n    SUM(Population) AS TotalPopulation, \n    AVG(LifeExpectancy) AS AverageLifeExpectancy \nFROM \n    country \nWHERE \n    LifeExpectancy < 72 \nGROUP BY \n    Continent""}]"
EXECUTION_ERROR,3,0.87,0,3,0.87,"[942, 943, 161]","[{""example_id"": 942, ""db_id"": ""dog_kennels"", ""question"": ""최소 두 가지 유형의 치료를 수행한 전문가는 누구인가요? 전문가 ID와 휴대폰 번호를 나열하세요."", ""primary_error"": ""EXECUTION_ERROR"", ""secondary_errors"": [""HAVING"", ""GROUP_BY"", ""AGGREGATION""], ""gold_sql"": ""SELECT T1.professional_id ,  T1.cell_number FROM Professionals AS T1 JOIN Treatments AS T2 ON T1.professional_id  =  T2.professional_id GROUP BY T1.professional_id HAVING count(*)  >=  2"", ""predicted_sql"": ""SELECT p.professional_id, p.cell_number\nFROM Professionals p\nJOIN Treatments t ON p.professional_id = t.professional_id\nGROUP BY p.professional_id, p.cell_number\nHAVING COUNT(DISTINCT t.treatment_type) >= 2""}, {""example_id"": 943, ""db_id"": ""dog_kennels"", ""question"": ""두 가지 이상의 치료 유형을 운영한 전문가의 ID와 휴대폰 번호를 찾으세요."", ""primary_error"": ""EXECUTION_ERROR"", ""secondary_errors"": [""HAVING"", ""GROUP_BY"", ""AGGREGATION""], ""gold_sql"": ""SELECT T1.professional_id ,  T1.cell_number FROM Professionals AS T1 JOIN Treatments AS T2 ON T1.professional_id  =  T2.professional_id GROUP BY T1.professional_id HAVING count(*)  >=  2"", ""predicted_sql"": ""SELECT p.professional_id, p.cell_number\nFROM Professionals p\nJOIN Treatments t ON p.professional_id = t.professional_id\nGROUP BY p.professional_id, p.cell_number\nHAVING COUNT(DISTINCT t.treatment_type) >= 2""}, {""example_id"": 161, ""db_id"": ""car_1"", ""question"": ""3개 이상의 자동차 제조사를 가진 국가는 몇 개입니까?"", ""primary_error"": ""EXECUTION_ERROR"", ""secondary_errors"": [""SUBQUERY"", ""JOIN_CONDITION"", ""HAVING"", ""GROUP_BY"", ""AGGREGATION"", ""DISTINCT"", ""SELECT_TARGET"", ""MISSING_TABLE_OR_COLUMN""], ""gold_sql"": ""select count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2"", ""predicted_sql"": ""SELECT COUNT(*) \nFROM (\n    SELECT c.Country \n    FROM car_makers cm \n    JOIN countries c ON cm.Country = c.Country \n    GROUP BY c.Country \n    HAVING COUNT(cm.Country) >= 3\n) AS filtered_countries""}]"
NEGATION,1,0.29,31,32,9.28,"[112, 346, 636]","[{""example_id"": 112, ""db_id"": ""car_1"", ""question"": ""AMC 호넷 스포트어바웃(SW)을 만드는 자동차의 가속력은 얼마입니까?"", ""primary_error"": ""NEGATION"", ""secondary_errors"": [""VALUE_GROUNDING"", ""EXTRA_FILTER""], ""gold_sql"": ""SELECT T1.Accelerate FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Make  =  'amc hornet sportabout (sw)';"", ""predicted_sql"": ""SELECT c.Accelerate \nFROM cars_data c \nJOIN car_names n ON c.Id = n.MakeId \nWHERE n.Make = 'AMC' AND n.Make = 'Hoone' AND c.Accelerate IS NOT NULL""}, {""example_id"": 346, ""db_id"": ""cre_Doc_Template_Mgt"", ""question"": ""어떤 문서에도 사용되지 않는 템플릿 유형의 코드는 무엇입니까?"", ""primary_error"": ""SET_OPERATION"", ""secondary_errors"": [""SUBQUERY"", ""NEGATION"", ""EXTRA_FILTER"", ""DISTINCT""], ""gold_sql"": ""SELECT template_type_code FROM Templates EXCEPT SELECT template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id"", ""predicted_sql"": ""SELECT \""Template_Type_Code\"" \nFROM \""Templates\"" \nWHERE \""Template_Type_Code\"" NOT IN (SELECT DISTINCT \""Template_Type_Code\"" FROM \""Documents\"" JOIN \""Templates\"" ON \""Documents\"".\""Template_ID\"" = \""Templates\"".\""Template_ID\"")""}, {""example_id"": 636, ""db_id"": ""tvshow"", ""question"": ""Todd Casey가 작성한 만화를 방송하지 않는 국가는 어디인가요?"", ""primary_error"": ""SET_OPERATION"", ""secondary_errors"": [""NEGATION"", ""EXTRA_FILTER"", ""DISTINCT"", ""SELECT_TARGET""], ""gold_sql"": ""SELECT country FROM TV_Channel EXCEPT SELECT T1.country FROM TV_Channel AS T1 JOIN cartoon AS T2 ON T1.id = T2.Channel WHERE T2.written_by  =  'Todd Casey'"", ""predicted_sql"": ""SELECT tc.Country \nFROM TV_Channel tc\nJOIN Cartoon c ON c.Channel = tc.id\nWHERE c.Written_by = 'Todd Casey'\nAND tc.Country IS NOT NULL""}]"
UNKNOWN,1,0.29,2,3,0.87,"[455, 456, 477]","[{""example_id"": 455, ""db_id"": ""wta_1"", ""question"": ""모든 선수의 이름과 성을 생년월일 순서로 나열하세요."", ""primary_error"": ""UNKNOWN"", ""secondary_errors"": [], ""gold_sql"": ""SELECT first_name ,  last_name FROM players ORDER BY birth_date"", ""predicted_sql"": ""SELECT first_name, last_name \nFROM players \nORDER BY birth_date""}, {""example_id"": 456, ""db_id"": ""wta_1"", ""question"": ""모든 선수의 전체 이름은 무엇인가요? 생년월일 순으로 정렬하세요."", ""primary_error"": ""SELECT_TARGET"", ""secondary_errors"": [""UNKNOWN""], ""gold_sql"": ""SELECT first_name ,  last_name FROM players ORDER BY birth_date"", ""predicted_sql"": ""SELECT first_name || ' ' || last_name AS full_name \nFROM players \nORDER BY birth_date""}, {""example_id"": 477, ""db_id"": ""wta_1"", ""question"": ""선수를 50명보다 많이 보유한 국가들의 코드를 찾으세요."", ""primary_error"": ""SUBQUERY"", ""secondary_errors"": [""EXTRA_FILTER"", ""DISTINCT"", ""SELECT_TARGET"", ""UNKNOWN""], ""gold_sql"": ""SELECT country_code FROM players GROUP BY country_code HAVING count(*)  >  50"", ""predicted_sql"": ""SELECT country_code \nFROM players \nWHERE country_code IN (\n    SELECT country_code \n    FROM players \n    GROUP BY country_code \n    HAVING COUNT(*) > 50\n)""}]"
MISSING_TABLE_OR_COLUMN,0,0.0,83,83,24.06,"[54, 507, 613]","[{""example_id"": 54, ""db_id"": ""pets_1"", ""question"": ""여성 학생들이 기르는 개 반려동물은 몇 마리인가요?"", ""primary_error"": ""MISSING_FILTER"", ""secondary_errors"": [""MISSING_TABLE_OR_COLUMN""], ""gold_sql"": ""SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog'"", ""predicted_sql"": ""SELECT COUNT(*) \nFROM Has_Pet \nJOIN Student ON Has_Pet.StuID = Student.StuID \nJOIN Pets ON Has_Pet.PetID = Pets.PetID \nWHERE Student.Sex = 'F'""}, {""example_id"": 507, ""db_id"": ""student_transcripts_tracking"", ""question"": ""라인 1과 라인 2를 포함한 모든 주소는 무엇입니까?"", ""primary_error"": ""SELECT_TARGET"", ""secondary_errors"": [""MISSING_TABLE_OR_COLUMN""], ""gold_sql"": ""SELECT line_1 ,  line_2 FROM addresses"", ""predicted_sql"": ""SELECT * FROM Addresses""}, {""example_id"": 613, ""db_id"": ""tvshow"", ""question"": ""모든 TV 시리즈의 에피소드를 평점 순으로 나열하세요."", ""primary_error"": ""SELECT_TARGET"", ""secondary_errors"": [""MISSING_TABLE_OR_COLUMN""], ""gold_sql"": ""SELECT Episode FROM TV_series ORDER BY rating"", ""predicted_sql"": ""SELECT * FROM \""TV_series\"" ORDER BY \""Rating\""""}]"
OTHER_SEMANTIC_ERROR,0,0.0,0,0,0.0,[],[]
WRONG_FILTER_COLUMN,0,0.0,0,0,0.0,[],[]
